,network,layer,ratioCon,pCon1,pConRel,conErrBars,ratioCat,pCat1,pCatRel,catErrBars,pConVCat
0,Vgg16,0,1.0000015097529464,0.8049667862952947,0.8044714756435738,6.049875232634975e-06,1.000003435072519,0.42110654467458597,0.4200950883007708,4.24307627122527e-06,0.5223570731522846
1,Vgg16,1,1.01055585560994,8.268022863814353e-13,7.097794087641102e-13,0.001207848376109547,1.0155506596414883,2.340228161851337e-27,8.60558206681118e-28,0.001149695375420255,7.882445458221648e-05
2,Vgg16,2,1.0104181678550808,9.186746179028948e-13,7.857337796228952e-13,0.001195472295090938,1.0153637869927405,1.8746646778752458e-27,7.122759368368679e-28,0.0011327797590508007,6.723131354459992e-05
3,Vgg16,3,1.0497323592571022,4.206372676639612e-13,1.2334806826279508e-13,0.005589227753262111,1.0763156808269172,4.349083181485985e-31,5.742728729559941e-34,0.00509770615743198,4.665423059925491e-05
4,Vgg16,4,1.0497297423187484,4.1486439911563086e-13,1.224933427182242e-13,0.005586897403321708,1.0763201430075098,4.373991349985283e-31,5.747698871609324e-34,0.005098334376752611,4.6621573798294204e-05
5,Vgg16,5,1.0497297423187484,4.1486439911563086e-13,1.224933427182242e-13,0.005586897403321708,1.0763201430075098,4.373991349985283e-31,5.747698871609324e-34,0.005098334376752611,4.6621573798294204e-05
6,Vgg16,6,1.0949999273088455,1.3703528067669817e-13,2.945161078758761e-15,0.010369621112062554,1.143607533101407,4.342049347939619e-31,3.031058934722991e-36,0.009592465944768922,0.0001583789278103016
7,Vgg16,7,1.0949980253812799,1.3692175379107657e-13,2.9473247730490143e-15,0.010369192871430026,1.1436129512729707,4.31733532904981e-31,3.016147170240485e-36,0.009592206998872239,0.00015827757616060294
8,Vgg16,8,1.1460210743620227,7.434865183963192e-16,6.018749089362981e-17,0.014041983859774152,1.234789357704834,6.994947541457241e-33,3.708915113580864e-42,0.014978114291762101,5.669827954740433e-06
9,Vgg16,9,1.1460210743620227,7.434865183963192e-16,6.018749089362981e-17,0.014041983859774152,1.234789357704834,6.994947541457241e-33,3.708915113580864e-42,0.014978114291762101,5.669827954740433e-06
10,Vgg16,10,1.1460210743620227,7.434865183963192e-16,6.018749089362981e-17,0.014041983859774152,1.234789357704834,6.994947541457241e-33,3.708915113580864e-42,0.014978114291762101,5.669827954740433e-06
11,Vgg16,11,1.1086735411385378,1.5774172217028543e-19,6.256931744274083e-20,0.008708965440643666,1.1853910207150888,5.012130603680217e-47,1.2101900671089164e-50,0.00857827816043854,4.787751847543659e-10
12,Vgg16,12,1.108632576460425,1.5895402250007493e-19,6.301367031601396e-20,0.008707033981740168,1.185329357371754,5.264549476237005e-47,1.2813161284170838e-50,0.00857923230076658,4.809207038031439e-10
13,Vgg16,13,1.1073774540260641,3.0681574300929583e-19,7.206116458110849e-20,0.008722449962434327,1.190983900901558,2.912842882785291e-51,2.700205659810135e-54,0.008105653937038292,5.726538778862631e-11
14,Vgg16,14,1.107374372654269,3.0884731045060876e-19,7.246522920090902e-20,0.008723376820978661,1.1909853816606386,2.872912675444864e-51,2.66580376812012e-54,0.00810474405675427,5.739136046995846e-11
15,Vgg16,15,1.1682634660741047,1.3717176029691365e-23,1.7337330032649867e-23,0.011264319985811119,1.3102007778924696,7.411350354779547e-57,1.7774333576240876e-62,0.011798418521441622,7.306550790264988e-13
16,Vgg16,16,1.1682917789949137,1.3487431518922948e-23,1.7138233057299143e-23,0.011262723895092489,1.3102142615284083,7.386521113524378e-57,1.787403664949598e-62,0.01179860110645038,7.269560086671788e-13
17,Vgg16,17,1.1682917789949137,1.3487431518922948e-23,1.7138233057299143e-23,0.011262723895092489,1.3102142615284083,7.386521113524378e-57,1.787403664949598e-62,0.01179860110645038,7.269560086671788e-13
18,Vgg16,18,1.224636278565974,6.043580132930185e-27,3.377586883889876e-27,0.013106878170248502,1.419313746039278,1.1661315106432526e-55,6.313617441160988e-63,0.0163208818897519,2.0027955133119506e-12
19,Vgg16,19,1.2247678358971492,6.2063278116399975e-27,3.5056370875000004e-27,0.013120579008145275,1.4196797603776,1.3608265626363688e-55,7.27796441531883e-63,0.016356356640630513,2.105889629641058e-12
20,Vgg16,20,1.3288936956056077,2.926274439812693e-27,7.807573643840557e-29,0.01895153498994767,1.6241637065160222,1.1868307789619036e-54,2.6878412073319318e-67,0.024774609814604782,2.337159634518588e-14
21,Vgg16,21,1.3299262991519063,2.7486264986338437e-27,8.198553212400926e-29,0.018990572833535804,1.6266807323627244,1.6638770606693153e-54,3.810885596492166e-67,0.02494583779160321,2.9336081861001146e-14
22,Vgg16,22,1.4982429133235395,2.8349310428777713e-24,1.6362270614484205e-30,0.03240978110162778,1.9608573198714436,3.761275446436161e-46,3.4042551496843377e-72,0.04528055263188657,1.2852986857535291e-12
23,Vgg16,23,1.5046580741642859,1.1868122377861788e-24,1.1933457247922225e-30,0.03231548704596351,1.9739876093874515,1.8558441880194278e-46,3.7606515862828114e-72,0.04560525554460203,1.2942380801353507e-12
24,Vgg16,24,1.5046580741642859,1.1868122377861788e-24,1.1933457247922225e-30,0.03231548704596351,1.9739876093874515,1.8558441880194278e-46,3.7606515862828114e-72,0.04560525554460203,1.2942380801353507e-12
25,Vgg16,25,1.640859657145234,8.84329133548102e-19,7.424502848458304e-33,0.05320530656384261,2.233295136809243,1.4804859566596393e-41,3.208106629771451e-73,0.06415896680423608,2.760344755796207e-13
26,Vgg16,26,1.6459768718034191,5.460441367030728e-19,7.070608097239807e-33,0.05309832916321809,2.2438798612523,7.206749355029257e-42,3.5906200941423964e-73,0.06426496329349084,2.6404643088382807e-13
27,Vgg16,27,2.0003305461075853,1.982065568940309e-13,3.4870892313636444e-33,0.11023414351211273,3.048188224847507,1.391314110238381e-26,6.959247561171648e-76,0.15482690030209004,8.990098034614953e-10
28,Vgg16,28,2.036130809094324,1.7242166829656862e-14,1.6820230243061405e-33,0.10736760475100618,3.109013847813096,2.4400031709847712e-29,8.627364470383935e-76,0.14758489006807685,2.0126098659400434e-10
