,layer01_inOutRatio_top5,layer01_inOutRatio_least5,layer02_inOutRatio_top5,layer02_inOutRatio_least5,layer03_inOutRatio_top5,layer03_inOutRatio_least5,layer04_inOutRatio_top5,layer04_inOutRatio_least5,layer05_inOutRatio_top5,layer05_inOutRatio_least5,layer06_inOutRatio_top5,layer06_inOutRatio_least5,layer07_inOutRatio_top5,layer07_inOutRatio_least5,layer08_inOutRatio_top5,layer08_inOutRatio_least5,layer09_inOutRatio_top5,layer09_inOutRatio_least5,layer10_inOutRatio_top5,layer10_inOutRatio_least5,layer11_inOutRatio_top5,layer11_inOutRatio_least5,layer12_inOutRatio_top5,layer12_inOutRatio_least5,layer13_inOutRatio_top5,layer13_inOutRatio_least5,layer14_inOutRatio_top5,layer14_inOutRatio_least5,layer15_inOutRatio_top5,layer15_inOutRatio_least5,layer16_inOutRatio_top5,layer16_inOutRatio_least5,layer17_inOutRatio_top5,layer17_inOutRatio_least5,layer18_inOutRatio_top5,layer18_inOutRatio_least5,layer19_inOutRatio_top5,layer19_inOutRatio_least5,layer20_inOutRatio_top5,layer20_inOutRatio_least5,layer21_inOutRatio_top5,layer21_inOutRatio_least5,layer22_inOutRatio_top5,layer22_inOutRatio_least5,layer23_inOutRatio_top5,layer23_inOutRatio_least5,layer24_inOutRatio_top5,layer24_inOutRatio_least5,layer25_inOutRatio_top5,layer25_inOutRatio_least5,layer26_inOutRatio_top5,layer26_inOutRatio_least5,layer27_inOutRatio_top5,layer27_inOutRatio_least5,layer28_inOutRatio_top5,layer28_inOutRatio_least5,layer29_inOutRatio_top5,layer29_inOutRatio_least5,layer30_inOutRatio_top5,layer30_inOutRatio_least5,layer31_inOutRatio_top5,layer31_inOutRatio_least5
0,"('01art', 1.0000091889294935)","('22chess', 0.9995835948836935)","('03backyard', 1.0294315218501742)","('73winter', 0.9871720191677118)","('03backyard', 1.028924825712493)","('73winter', 0.9868049495870108)","('08beachball-pail', 1.1517286776353515)","('73winter', 0.9314773822168037)","('08beachball-pail', 1.15113581718173)","('73winter', 0.9314807583736351)","('08beachball-pail', 1.15113581718173)","('73winter', 0.9314807583736351)","('08beachball-pail', 1.4731147848076853)","('73winter', 0.9201123256847642)","('08beachball-pail', 1.4729745444545148)","('73winter', 0.9201141197943968)","('20casino', 1.4996864056655095)","('05baseball', 0.8982737412382947)","('20casino', 1.4996864056655095)","('05baseball', 0.8982737412382947)","('20casino', 1.4996864056655095)","('05baseball', 0.8982737412382947)","('20casino', 1.2601173659487037)","('05baseball', 0.8935198578093961)","('20casino', 1.259985282893151)","('05baseball', 0.8931210651633665)","('03backyard', 1.2474822212875172)","('05baseball', 0.9082034048400534)","('03backyard', 1.2474819124454744)","('05baseball', 0.9082307620248177)","('45kitchen', 1.3888921816598678)","('05baseball', 0.937738863022873)","('45kitchen', 1.3890159389025523)","('05baseball', 0.9379152187061547)","('45kitchen', 1.3890159389025523)","('05baseball', 0.9379152187061547)","('45kitchen', 1.4755597952979096)","('33fishtank', 0.9809201226078355)","('45kitchen', 1.4749315974963666)","('33fishtank', 0.9811978154536856)","('32farm_animals', 1.8443298554941183)","('62sushi', 0.9518588786089612)","('32farm_animals', 1.8413709210195495)","('62sushi', 0.9482039569179599)","('32farm_animals', 2.899655868480281)","('62sushi', 1.100807467816448)","('32farm_animals', 2.884306909913664)","('47laundry', 1.1050534283455968)","('32farm_animals', 2.884306909913664)","('47laundry', 1.1050534283455968)","('32farm_animals', 4.862219882922475)","('01art', 1.1094387368231697)","('32farm_animals', 4.841321813597525)","('01art', 1.1126602640159216)","('32farm_animals', 9.003369480917275)","('47laundry', 1.247017453588486)","('32farm_animals', 8.730012958485055)","('47laundry', 1.2543946059836324)","('17burger', 8.026644552941862)","('32farm_animals', -51.24941821150112)","('17burger', 9.694859423166632)","('32farm_animals', -88.62075949590692)"
1,"('38groceryshopping', 1.0000091889294935)","('06basketball', 0.9998742030873513)","('17burger', 1.028010339642207)","('67toy', 0.9887135839392746)","('17burger', 1.027573515401818)","('44kayak', 0.9891273511599293)","('18car', 1.1253600106428916)","('24cleaning', 0.9492289417976648)","('18car', 1.1253628992563536)","('24cleaning', 0.9492346194113073)","('18car', 1.1253628992563536)","('24cleaning', 0.9492346194113073)","('03backyard', 1.2561941499315439)","('64tennis', 0.9412922979549737)","('03backyard', 1.2562017042548712)","('64tennis', 0.9411081366449691)","('45kitchen', 1.40242234078562)","('63teethhygene', 0.899765062199771)","('45kitchen', 1.40242234078562)","('63teethhygene', 0.899765062199771)","('45kitchen', 1.40242234078562)","('63teethhygene', 0.899765062199771)","('03backyard', 1.2496023799864184)","('63teethhygene', 0.938502402831103)","('03backyard', 1.24957637820741)","('63teethhygene', 0.938454623678683)","('20casino', 1.244854113402031)","('63teethhygene', 0.9308100359926601)","('20casino', 1.2448549185376483)","('63teethhygene', 0.9308118983890777)","('17burger', 1.3239781144027625)","('33fishtank', 0.9675547891717232)","('17burger', 1.3239559053244012)","('33fishtank', 0.9675665898095844)","('17burger', 1.3239559053244012)","('33fishtank', 0.9675665898095844)","('53ocean', 1.462089024398417)","('12birdcage', 0.9875234663878697)","('53ocean', 1.4623037264856762)","('12birdcage', 0.9878489358854798)","('17burger', 1.7742714865007871)","('33fishtank', 0.9832087517555782)","('17burger', 1.773228441056162)","('33fishtank', 0.985161360863815)","('17burger', 2.491348203832392)","('47laundry', 1.1013395768718948)","('17burger', 2.4838906985362312)","('62sushi', 1.1077627853356815)","('17burger', 2.4838906985362312)","('62sushi', 1.1077627853356815)","('17burger', 2.623790200687285)","('47laundry', 1.149742424759439)","('17burger', 2.6479324913196987)","('47laundry', 1.1449442138715984)","('17burger', 4.234284502873348)","('01art', 1.2883078472628577)","('17burger', 4.313358123214563)","('01art', 1.3156219045394288)","('70tv', 4.396044651006789)","('01art', 1.4885391701975872)","('70tv', 5.350778175710074)","('29cooking', 1.6075666742128492)"
2,"('54office_supply', 1.0000091889294935)","('01art', 1.0000091889294935)","('18car', 1.0277480547356077)","('58party', 0.9893624659104541)","('65toilet', 1.0272582473289815)","('58party', 0.9892299636888262)","('17burger', 1.1240599603024883)","('58party', 0.9611670631370859)","('17burger', 1.1240667716317012)","('58party', 0.9611783083617044)","('17burger', 1.1240667716317012)","('58party', 0.9611783083617044)","('20casino', 1.2553461988198458)","('69tub', 0.9467934980405751)","('20casino', 1.2553427832608843)","('69tub', 0.946795124415215)","('03backyard', 1.37516659248914)","('24cleaning', 0.8997943359888071)","('03backyard', 1.37516659248914)","('24cleaning', 0.8997943359888071)","('03backyard', 1.37516659248914)","('24cleaning', 0.8997943359888071)","('17burger', 1.236716737812505)","('24cleaning', 0.9730649068504191)","('17burger', 1.2366526592202507)","('24cleaning', 0.9732154776949811)","('17burger', 1.2200298291375178)","('62sushi', 0.9313684389948385)","('17burger', 1.2200289790308094)","('62sushi', 0.9313600194028018)","('08beachball-pail', 1.31369988745349)","('63teethhygene', 0.9856741769456244)","('08beachball-pail', 1.313743680732044)","('63teethhygene', 0.9858007673961523)","('08beachball-pail', 1.313743680732044)","('63teethhygene', 0.9858007673961523)","('17burger', 1.46051757100951)","('01art', 1.0129675821521675)","('17burger', 1.4607619935638003)","('01art', 1.0130663011934593)","('45kitchen', 1.6599537629857601)","('12birdcage', 0.9964029268391962)","('45kitchen', 1.6618155225341766)","('12birdcage', 0.9958035604952854)","('70tv', 1.9733816923666523)","('12birdcage', 1.1128068285994923)","('70tv', 1.9891440209690614)","('12birdcage', 1.1183220039586195)","('70tv', 1.9891440209690614)","('12birdcage', 1.1183220039586195)","('53ocean', 2.2208920684747664)","('12birdcage', 1.233042571265782)","('53ocean', 2.2192878744894915)","('12birdcage', 1.2372679907112243)","('53ocean', 3.233069221023689)","('29cooking', 1.366382325695533)","('53ocean', 3.2807315871390776)","('29cooking', 1.3755521143710587)","('53ocean', 4.137220324682892)","('29cooking', 1.5416884018587627)","('53ocean', 4.201127886728973)","('01art', 1.6140799371554144)"
3,"('53ocean', 1.0000091889294935)","('52motorbike', 1.0000091889294935)","('71valentines', 1.026439489934487)","('44kayak', 0.9894583372196639)","('18car', 1.0272327094094835)","('67toy', 0.9897388427740368)","('03backyard', 1.1232193145782503)","('62sushi', 0.97050585752642)","('03backyard', 1.1232205539812743)","('62sushi', 0.9705112620396766)","('03backyard', 1.1232205539812743)","('62sushi', 0.9705112620396766)","('17burger', 1.243135252279156)","('24cleaning', 0.9617227393288782)","('17burger', 1.2431334911737997)","('24cleaning', 0.96172373605254)","('08beachball-pail', 1.3730917277072194)","('73winter', 0.9039740764947641)","('08beachball-pail', 1.3730917277072194)","('73winter', 0.9039740764947641)","('08beachball-pail', 1.3730917277072194)","('73winter', 0.9039740764947641)","('53ocean', 1.223907424374542)","('15bowling', 0.9838470721227651)","('53ocean', 1.223921316302323)","('15bowling', 0.9837968578905629)","('08beachball-pail', 1.2163532909475507)","('21cheese', 0.9489559284737553)","('08beachball-pail', 1.2163661559098058)","('21cheese', 0.948751127793756)","('03backyard', 1.3083838687441993)","('21cheese', 0.9961494095731893)","('03backyard', 1.3084185733328497)","('21cheese', 0.9960551234972752)","('03backyard', 1.3084185733328497)","('21cheese', 0.9960551234972752)","('55office-computer-printer', 1.4315136631280572)","('62sushi', 1.0160602988765417)","('55office-computer-printer', 1.432049135534395)","('62sushi', 1.016374015985249)","('70tv', 1.6511679476566075)","('47laundry', 1.079329831456238)","('70tv', 1.6546109862592735)","('01art', 1.0811620072647417)","('53ocean', 1.953960870679031)","('01art', 1.1360111744617207)","('53ocean', 1.9560450606064408)","('01art', 1.1394867510004132)","('53ocean', 1.9560450606064408)","('01art', 1.1394867510004132)","('70tv', 2.084351063495339)","('29cooking', 1.253392099969255)","('70tv', 2.096819819421434)","('29cooking', 1.2579772295085005)","('42horseriding', 2.6635733943704936)","('43ironing', 1.4481383537691992)","('42horseriding', 2.705336162531232)","('43ironing', 1.4622087001429727)","('42horseriding', 3.574748295665086)","('49livingroom-chair', 1.5834505474432117)","('45kitchen', 3.9542136981929508)","('49livingroom-chair', 1.6465803821237792)"
4,"('52motorbike', 1.0000091889294935)","('51makeup', 1.0000091889294935)","('04barber', 1.0258093638130357)","('38groceryshopping', 0.9928778861860216)","('71valentines', 1.026068614707298)","('38groceryshopping', 0.992546087211831)","('14boat', 1.1160859320727687)","('63teethhygene', 0.9725708545755307)","('14boat', 1.116090192777619)","('63teethhygene', 0.9725782270011125)","('14boat', 1.116090192777619)","('63teethhygene', 0.9725782270011125)","('71valentines', 1.2340775584368464)","('05baseball', 0.9721016944407006)","('71valentines', 1.234077240085185)","('05baseball', 0.9721030412795231)","('17burger', 1.3545344269579924)","('21cheese', 0.9705884188757465)","('17burger', 1.3545344269579924)","('21cheese', 0.9705884188757465)","('17burger', 1.3545344269579924)","('21cheese', 0.9705884188757465)","('45kitchen', 1.2210667609721981)","('21cheese', 0.987160570424488)","('45kitchen', 1.2205389477090836)","('21cheese', 0.9870636682836562)","('45kitchen', 1.2045023168153652)","('58party', 0.9739798258888909)","('45kitchen', 1.204558281293273)","('58party', 0.9739736092158287)","('53ocean', 1.306089649251521)","('01art', 1.0051064412936979)","('53ocean', 1.306103279962584)","('01art', 1.005048199443394)","('53ocean', 1.306103279962584)","('01art', 1.005048199443394)","('20casino', 1.402148585107792)","('58party', 1.025868931860765)","('20casino', 1.4027559283438449)","('58party', 1.0260164621147418)","('53ocean', 1.6071665675284617)","('01art', 1.0810285604239052)","('53ocean', 1.606628374033734)","('47laundry', 1.0813782872701956)","('45kitchen', 1.9025097635416075)","('21cheese', 1.1851847510075029)","('45kitchen', 1.9160241131606275)","('21cheese', 1.1879505196183502)","('45kitchen', 1.9160241131606275)","('21cheese', 1.1879505196183502)","('42horseriding', 2.0578078211495945)","('62sushi', 1.3002933740029554)","('45kitchen', 2.0739034340817217)","('62sushi', 1.2989395057503716)","('45kitchen', 2.605635969794243)","('49livingroom-chair', 1.4773024326723903)","('45kitchen', 2.703254175677293)","('49livingroom-chair', 1.4984786533533567)","('45kitchen', 3.4468050123959784)","('47laundry', 1.5943591443724525)","('20casino', 3.8540593757476738)","('43ironing', 1.6910171155309768)"
