,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dining_room,0.41053506708905185,-0.45644823855585603,0.5845131859878502,-0.2346958177158065,-0.2412264803253238,-0.10211793995908584,-0.07146191090841783,-0.035753020539464546,0.024440815526810312,0.08635189533299584,0.10529365677565927,0.0937172819388072,0.3323428699135249,-0.04700100655077853,-0.09688981862865316,0.1477040839337422,-0.1314389922109224,-0.07893554858936803,0.00734066539007635,0.10104813154311318
dorm_room,-0.2416178899671877,-1.0187359456678147,0.3316373993149878,0.04144888054279625,-0.31229795667504756,0.08740933030742311,0.14094998988550153,0.018025621624018422,-0.1965926259026771,-0.357472979163778,-0.35615774503848235,-0.09180584482267386,0.08499148706255366,0.5816941808448967,-0.07395014165968179,-0.3597527642879523,0.43314003214196073,-0.04588829846852611,0.2938820672441271,0.09196593423632782
ski_slope,-0.7685738115476448,-0.0013331220568000087,0.01278919771295171,-0.012361489366255383,0.0032547581615753832,0.008285186162353173,-0.03169412384034037,0.06919340824448099,0.019735827127966975,0.008172077832383239,0.02727630031873788,-0.009251715711610526,0.011722007087770015,-0.02398845192675583,-0.012934079749432675,-0.00691038415204753,-0.0018983316456711902,-0.01582930633308439,0.026373685671530207,0.04690493750187179
baseball_field,-0.7685738115476488,-0.0013331220567983893,0.012789197712952503,-0.012361489366253435,0.003254758161577133,0.00828518616235373,-0.03169412384034099,0.06919340824448272,0.019735827127966236,0.008172077832384305,0.027276300318735708,-0.009251715711613448,0.011722007087771328,-0.02398845192675583,-0.012934079749432885,-0.0069103841520470445,-0.0018983316456710557,-0.01582930633308479,0.0263736856715291,0.04690493750187131
volleyball_court,-0.7685738115476487,-0.001333122056799469,0.012789197712951193,-0.012361489366252894,0.003254758161576744,0.008285186162352336,-0.03169412384034195,0.06919340824448221,0.019735827127964446,0.008172077832380819,0.02727630031873462,-0.009251715711611548,0.011722007087770835,-0.02398845192675601,-0.012934079749432534,-0.006910384152048846,-0.0018983316456718626,-0.01582930633308466,0.026373685671529517,0.04690493750187385
bridge,0.497579956369411,0.9979216759486842,-0.5262931906958923,-0.6654183944868352,0.021978670789994454,0.6724637950129082,0.5002544795015329,0.7719916225878621,0.3462617739587374,-0.060358860789738455,-0.04535733677192581,-0.2041448781891102,0.03183791970484354,-0.283243346220021,-0.17006668013218468,0.05715403603728664,0.15140528751934884,0.3145852612601632,0.4101649105790116,-0.37566397582153666
living_room.n.01,-0.7685738115476488,-0.001333122056799199,0.012789197712952503,-0.012361489366253867,0.0032547581615777164,0.008285186162354007,-0.03169412384034125,0.06919340824448152,0.019735827127965375,0.008172077832382111,0.02727630031873711,-0.009251715711613524,0.011722007087770015,-0.023988451926755108,-0.012934079749432534,-0.006910384152048431,-0.0018983316456723334,-0.01582930633308632,0.02637368567153016,0.04690493750187163
playroom,1.080056066876491,-0.9786375686363176,1.2776134000155528,0.055701613476995204,0.02520864941249646,-0.6948357220177588,-0.4708056969407279,0.236791797426688,0.6456347332064198,-0.57566708384196,0.4134008535381241,-0.10487054746973368,-0.519255487591322,0.7600574969609412,-0.6212497157465813,-0.008810675034385183,-0.3131084928502515,0.5930173646477817,0.4362647348886695,0.14280679523200407
ocean,0.399911988870603,1.2830417704021593,0.6405360051859964,-0.02836453633437295,-0.890921941810187,-0.03116648254877826,0.2079813802240575,-0.7932878669094301,0.2058657839763985,-0.08100640365649872,-0.6946522983273614,-0.32548629625594383,-0.050848648893811146,0.3528739267897682,0.28072774069782197,0.006391789234193101,0.4409910491858106,0.3249174687730185,-0.584004306609234,0.14636107893039915
computer.n.01,-0.7685738115476487,-0.0013331220567991146,0.012789197712954314,-0.012361489366254733,0.003254758161577036,0.008285186162353544,-0.03169412384034019,0.06919340824448264,0.01973582712796689,0.008172077832381516,0.027276300318737644,-0.009251715711612986,0.011722007087769631,-0.02398845192675591,-0.01293407974943313,-0.006910384152047668,-0.0018983316456718626,-0.015829306333084856,0.026373685671529968,0.04690493750187442
