,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
dining_room,0.41053506708905185,-0.45644823855585603,0.5845131859878502,-0.2346958177158065,-0.2412264803253238,-0.10211793995908584,-0.07146191090841783,-0.035753020539464546,0.024440815526810312,0.08635189533299584,0.10529365677565927,0.0937172819388072,0.3323428699135249,-0.04700100655077853,-0.09688981862865316,0.1477040839337422,-0.1314389922109224,-0.07893554858936803,0.00734066539007635,0.10104813154311318,-0.13545263722357365,0.17276514289859585,0.15161031027514454,0.22719081271704025,0.003065525847159785,-0.15798948081024078,0.012893551417787846,-0.22332370149710518,-0.14205503992667645,-0.2105783958380693,0.04153021428894572,0.21443034029410318,-0.024238641530341314,0.01737248752107353,-0.1972605191195743,-0.20667563392726818,-0.0672644647870411,-0.25042649084510366,-0.014454125337586426,0.15339769079198484
dorm_room,-0.2416178899671877,-1.0187359456678147,0.3316373993149878,0.04144888054279625,-0.31229795667504756,0.08740933030742311,0.14094998988550153,0.018025621624018422,-0.1965926259026771,-0.357472979163778,-0.35615774503848235,-0.09180584482267386,0.08499148706255366,0.5816941808448967,-0.07395014165968179,-0.3597527642879523,0.43314003214196073,-0.04588829846852611,0.2938820672441271,0.09196593423632782,-0.043078952475927565,0.2560850700479111,0.12118366713144686,-0.04630030333188414,0.48740411821137875,0.13197738452220154,0.44381476327021785,0.16894935683362722,-0.09831546324509978,0.38292227143817914,-0.20365910075846355,0.051812772246758135,-0.37764661078133976,0.19990083225036925,-0.2328411052764102,-0.512425546824665,0.03195573755800918,-0.3077700410371842,-0.6934996687988336,0.1335813127402902
ski_slope,-0.7685738115476448,-0.0013331220568000087,0.01278919771295171,-0.012361489366255383,0.0032547581615753832,0.008285186162353173,-0.03169412384034037,0.06919340824448099,0.019735827127966975,0.008172077832383239,0.02727630031873788,-0.009251715711610526,0.011722007087770015,-0.02398845192675583,-0.012934079749432675,-0.00691038415204753,-0.0018983316456711902,-0.01582930633308439,0.026373685671530207,0.04690493750187179,-0.0137430856210459,-0.00992165265665701,0.018455900073406428,0.013304002469846405,-0.012884740061316154,0.0008582405446223187,-0.014069352197844179,0.01596321925360164,0.009242253879463652,-0.0031772373999648445,-0.009370504862538199,-0.008187435458100148,0.005472236300932231,-0.0041725151947454705,0.02639002862787968,0.003967828017178035,-0.015029309706548857,0.021428871112876436,0.0009195629844777706,-0.011237432394465268
baseball_field,-0.7685738115476488,-0.0013331220567983893,0.012789197712952503,-0.012361489366253435,0.003254758161577133,0.00828518616235373,-0.03169412384034099,0.06919340824448272,0.019735827127966236,0.008172077832384305,0.027276300318735708,-0.009251715711613448,0.011722007087771328,-0.02398845192675583,-0.012934079749432885,-0.0069103841520470445,-0.0018983316456710557,-0.01582930633308479,0.0263736856715291,0.04690493750187131,-0.013743085621047322,-0.009921652656655466,0.018455900073407618,0.013304002469847195,-0.012884740061315023,0.000858240544621914,-0.014069352197843775,0.015963219253601498,0.00924225387946266,-0.003177237399964581,-0.009370504862539009,-0.008187435458100302,0.005472236300932621,-0.004172515194746474,0.02639002862787941,0.003967828017179219,-0.015029309706547977,0.021428871112876387,0.0009195629844784355,-0.011237432394465528
volleyball_court,-0.7685738115476487,-0.001333122056799469,0.012789197712951193,-0.012361489366252894,0.003254758161576744,0.008285186162352336,-0.03169412384034195,0.06919340824448221,0.019735827127964446,0.008172077832380819,0.02727630031873462,-0.009251715711611548,0.011722007087770835,-0.02398845192675601,-0.012934079749432534,-0.006910384152048846,-0.0018983316456718626,-0.01582930633308466,0.026373685671529517,0.04690493750187385,-0.013743085621044404,-0.009921652656655466,0.018455900073406268,0.01330400246984529,-0.012884740061313578,0.0008582405446216862,-0.01406935219784255,0.015963219253601606,0.00924225387946304,-0.003177237399965319,-0.009370504862538147,-0.008187435458101184,0.00547223630093249,-0.004172515194745898,0.026390028627879574,0.003967828017179121,-0.015029309706547611,0.02142887111287646,0.0009195629844785779,-0.011237432394466352
bridge,0.497579956369411,0.9979216759486842,-0.5262931906958923,-0.6654183944868352,0.021978670789994454,0.6724637950129082,0.5002544795015329,0.7719916225878621,0.3462617739587374,-0.060358860789738455,-0.04535733677192581,-0.2041448781891102,0.03183791970484354,-0.283243346220021,-0.17006668013218468,0.05715403603728664,0.15140528751934884,0.3145852612601632,0.4101649105790116,-0.37566397582153666,-0.002074573960645763,0.3848862461372946,0.1106996957719155,-0.24891075899126983,0.09203215690624206,0.1064452922309796,0.153077746072268,-0.4517294961041613,-0.10101148363995929,0.11237620803751894,0.4228204593779357,-0.01789705783999148,-0.11051938310356142,0.16535608357466405,0.10445398965370419,-0.1993208600810132,0.3071934661457487,0.261137800176924,-0.08816680034227428,0.2185974224628316
living_room.n.01,-0.7685738115476488,-0.001333122056799199,0.012789197712952503,-0.012361489366253867,0.0032547581615777164,0.008285186162354007,-0.03169412384034125,0.06919340824448152,0.019735827127965375,0.008172077832382111,0.02727630031873711,-0.009251715711613524,0.011722007087770015,-0.023988451926755108,-0.012934079749432534,-0.006910384152048431,-0.0018983316456723334,-0.01582930633308632,0.02637368567153016,0.04690493750187163,-0.013743085621045242,-0.00992165265665664,0.01845590007340759,0.01330400246984672,-0.012884740061315627,0.0008582405446215438,-0.01406935219784355,0.015963219253601824,0.009242253879462592,-0.0031772373999645743,-0.009370504862537581,-0.008187435458100994,0.005472236300932297,-0.0041725151947454,0.02639002862787889,0.003967828017178824,-0.015029309706548833,0.02142887111287783,0.0009195629844779843,-0.011237432394466023
playroom,1.080056066876491,-0.9786375686363176,1.2776134000155528,0.055701613476995204,0.02520864941249646,-0.6948357220177588,-0.4708056969407279,0.236791797426688,0.6456347332064198,-0.57566708384196,0.4134008535381241,-0.10487054746973368,-0.519255487591322,0.7600574969609412,-0.6212497157465813,-0.008810675034385183,-0.3131084928502515,0.5930173646477817,0.4362647348886695,0.14280679523200407,0.3166642391123117,-0.37222229885711766,-0.2111240757381711,0.7279374633426761,-0.014128779461030415,0.061298555903221266,0.14794406462490256,-0.389543472676233,-0.07378636624392439,-0.005182804102919967,0.43656813890057605,0.07772871577279783,-0.14966606158723458,-0.07275965399623713,-0.15435459931476794,-0.29582242004849985,-0.09354227945491986,0.21347372096313472,0.47938908977712,-0.005801140059622068
ocean,0.399911988870603,1.2830417704021593,0.6405360051859964,-0.02836453633437295,-0.890921941810187,-0.03116648254877826,0.2079813802240575,-0.7932878669094301,0.2058657839763985,-0.08100640365649872,-0.6946522983273614,-0.32548629625594383,-0.050848648893811146,0.3528739267897682,0.28072774069782197,0.006391789234193101,0.4409910491858106,0.3249174687730185,-0.584004306609234,0.14636107893039915,-0.18077671048032337,-0.16397004325087267,0.06741255774356945,0.19798134702943684,0.06157328247435906,-0.13687575514002612,-0.16098591934045317,-0.20033663517913597,-0.11844688547900961,-0.38132583657862007,-0.0350115426278856,0.01012593822772207,0.018327722763915623,0.1000115770662452,-0.10482771363377634,0.057389135661739345,0.0748120740834971,0.2718969083972462,0.0870942659230105,0.11006606794512101
computer.n.01,-0.7685738115476487,-0.0013331220567991146,0.012789197712954314,-0.012361489366254733,0.003254758161577036,0.008285186162353544,-0.03169412384034019,0.06919340824448264,0.01973582712796689,0.008172077832381516,0.027276300318737644,-0.009251715711612986,0.011722007087769631,-0.02398845192675591,-0.01293407974943313,-0.006910384152047668,-0.0018983316456718626,-0.015829306333084856,0.026373685671529968,0.04690493750187442,-0.013743085621046048,-0.009921652656657164,0.01845590007340513,0.013304002469845052,-0.012884740061315052,0.0008582405446219709,-0.014069352197843273,0.015963219253601713,0.009242253879462809,-0.0031772373999649005,-0.009370504862538383,-0.00818743545809928,0.005472236300934405,-0.004172515194746186,0.02639002862788028,0.003967828017177936,-0.015029309706549955,0.02142887111287747,0.0009195629844773908,-0.011237432394466212
