,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
dining_room,0.41053506708905185,-0.45644823855585603,0.5845131859878502,-0.2346958177158065,-0.2412264803253238,-0.10211793995908584,-0.07146191090841783,-0.035753020539464546,0.024440815526810312,0.08635189533299584,0.10529365677565927,0.0937172819388072,0.3323428699135249,-0.04700100655077853,-0.09688981862865316,0.1477040839337422,-0.1314389922109224,-0.07893554858936803,0.00734066539007635,0.10104813154311318,-0.13545263722357365,0.17276514289859585,0.15161031027514454,0.22719081271704025,0.003065525847159785,-0.15798948081024078,0.012893551417787846,-0.22332370149710518,-0.14205503992667645,-0.2105783958380693,0.04153021428894572,0.21443034029410318,-0.024238641530341314,0.01737248752107353,-0.1972605191195743,-0.20667563392726818,-0.0672644647870411,-0.25042649084510366,-0.014454125337586426,0.15339769079198484,-0.09252731942914395,0.08423743325337049,-0.14582623813499052,0.05025731788067589,-0.18575165841831875,-0.0028626332041572678,0.06967888453208247,-0.03523876303825538,0.041220907205316626,0.03449883656873413,-0.1285495895552838,0.20439349669604545,0.17066963535539198,0.009304575404767854,-0.09483940974208759,0.1297794576199535,0.24418481253816368,0.13090582501102643,0.016277003189212238,0.13321906150775828
dorm_room,-0.2416178899671877,-1.0187359456678147,0.3316373993149878,0.04144888054279625,-0.31229795667504756,0.08740933030742311,0.14094998988550153,0.018025621624018422,-0.1965926259026771,-0.357472979163778,-0.35615774503848235,-0.09180584482267386,0.08499148706255366,0.5816941808448967,-0.07395014165968179,-0.3597527642879523,0.43314003214196073,-0.04588829846852611,0.2938820672441271,0.09196593423632782,-0.043078952475927565,0.2560850700479111,0.12118366713144686,-0.04630030333188414,0.48740411821137875,0.13197738452220154,0.44381476327021785,0.16894935683362722,-0.09831546324509978,0.38292227143817914,-0.20365910075846355,0.051812772246758135,-0.37764661078133976,0.19990083225036925,-0.2328411052764102,-0.512425546824665,0.03195573755800918,-0.3077700410371842,-0.6934996687988336,0.1335813127402902,-0.14996409512274808,0.4252348220725185,0.16420959558739492,-0.1136848075981093,-0.22166960056731133,-0.10166422696658291,0.014567205842963728,0.031888397922691616,-0.007849873298012382,0.4074094069240935,0.024527541596892504,-0.23177957638084215,-0.03283323844883769,0.4584620611279999,-0.21124665334412893,-0.06065253871445064,0.2974272015073913,0.5695758681962151,0.2257236607878855,0.3706497521662816
ski_slope,-0.7685738115476448,-0.0013331220568000087,0.01278919771295171,-0.012361489366255383,0.0032547581615753832,0.008285186162353173,-0.03169412384034037,0.06919340824448099,0.019735827127966975,0.008172077832383239,0.02727630031873788,-0.009251715711610526,0.011722007087770015,-0.02398845192675583,-0.012934079749432675,-0.00691038415204753,-0.0018983316456711902,-0.01582930633308439,0.026373685671530207,0.04690493750187179,-0.0137430856210459,-0.00992165265665701,0.018455900073406428,0.013304002469846405,-0.012884740061316154,0.0008582405446223187,-0.014069352197844179,0.01596321925360164,0.009242253879463652,-0.0031772373999648445,-0.009370504862538199,-0.008187435458100148,0.005472236300932231,-0.0041725151947454705,0.02639002862787968,0.003967828017178035,-0.015029309706548857,0.021428871112876436,0.0009195629844777706,-0.011237432394465268,0.008098937738673945,-0.003463845489446436,-0.001582297889724384,0.008493877935780795,0.012602993861891926,0.0043365237224801375,-0.014746576029570833,-0.01011662783231013,-0.0032934729571436503,0.002593707741146692,-0.0066282920901115155,-0.0018483378983197233,-0.001649880545619158,-0.0002566229057900663,-0.0028833824829884195,0.008297837404046347,-0.0037771413583333868,-0.0068211640729705925,0.0023051448596941963,-0.004543994709051
baseball_field,-0.7685738115476488,-0.0013331220567983893,0.012789197712952503,-0.012361489366253435,0.003254758161577133,0.00828518616235373,-0.03169412384034099,0.06919340824448272,0.019735827127966236,0.008172077832384305,0.027276300318735708,-0.009251715711613448,0.011722007087771328,-0.02398845192675583,-0.012934079749432885,-0.0069103841520470445,-0.0018983316456710557,-0.01582930633308479,0.0263736856715291,0.04690493750187131,-0.013743085621047322,-0.009921652656655466,0.018455900073407618,0.013304002469847195,-0.012884740061315023,0.000858240544621914,-0.014069352197843775,0.015963219253601498,0.00924225387946266,-0.003177237399964581,-0.009370504862539009,-0.008187435458100302,0.005472236300932621,-0.004172515194746474,0.02639002862787941,0.003967828017179219,-0.015029309706547977,0.021428871112876387,0.0009195629844784355,-0.011237432394465528,0.008098937738676154,-0.0034638454894461612,-0.0015822978897243954,0.008493877935780818,0.012602993861891948,0.004336523722479677,-0.014746576029569363,-0.010116627832310045,-0.003293472957145206,0.0025937077411465966,-0.006628292090111359,-0.001848337898320969,-0.0016498805456190125,-0.00025662290578965305,-0.0028833824829861913,0.00829783740404668,-0.003777141358332151,-0.006821164072970716,0.0023051448596937687,-0.004543994709049201
volleyball_court,-0.7685738115476487,-0.001333122056799469,0.012789197712951193,-0.012361489366252894,0.003254758161576744,0.008285186162352336,-0.03169412384034195,0.06919340824448221,0.019735827127964446,0.008172077832380819,0.02727630031873462,-0.009251715711611548,0.011722007087770835,-0.02398845192675601,-0.012934079749432534,-0.006910384152048846,-0.0018983316456718626,-0.01582930633308466,0.026373685671529517,0.04690493750187385,-0.013743085621044404,-0.009921652656655466,0.018455900073406268,0.01330400246984529,-0.012884740061313578,0.0008582405446216862,-0.01406935219784255,0.015963219253601606,0.00924225387946304,-0.003177237399965319,-0.009370504862538147,-0.008187435458101184,0.00547223630093249,-0.004172515194745898,0.026390028627879574,0.003967828017179121,-0.015029309706547611,0.02142887111287646,0.0009195629844785779,-0.011237432394466352,0.008098937738674773,-0.003463845489447021,-0.001582297889724271,0.008493877935782903,0.012602993861893485,0.004336523722477697,-0.014746576029570198,-0.010116627832309414,-0.00329347295714593,0.0025937077411462787,-0.006628292090110583,-0.0018483378983205124,-0.001649880545620253,-0.00025662290579176654,-0.0028833824829865755,0.00829783740404868,-0.0037771413583327453,-0.0068211640729703565,0.002305144859695535,-0.004543994709048842
bridge,0.497579956369411,0.9979216759486842,-0.5262931906958923,-0.6654183944868352,0.021978670789994454,0.6724637950129082,0.5002544795015329,0.7719916225878621,0.3462617739587374,-0.060358860789738455,-0.04535733677192581,-0.2041448781891102,0.03183791970484354,-0.283243346220021,-0.17006668013218468,0.05715403603728664,0.15140528751934884,0.3145852612601632,0.4101649105790116,-0.37566397582153666,-0.002074573960645763,0.3848862461372946,0.1106996957719155,-0.24891075899126983,0.09203215690624206,0.1064452922309796,0.153077746072268,-0.4517294961041613,-0.10101148363995929,0.11237620803751894,0.4228204593779357,-0.01789705783999148,-0.11051938310356142,0.16535608357466405,0.10445398965370419,-0.1993208600810132,0.3071934661457487,0.261137800176924,-0.08816680034227428,0.2185974224628316,0.30587300483475643,-0.025634864995498583,0.2691378066749219,-0.31416906810417194,-0.33202056872169167,0.5493900998557985,0.13695725529814398,-0.23809526423938557,0.2343223576695644,-0.2284993384639441,-0.2579663790613655,0.25399662057270395,0.03868252640395898,-0.002844110355157465,0.20635280370869047,0.045531768314002755,-0.44344386371090866,0.1323902739308327,0.012451938956917083,-0.34924021336296895
living_room.n.01,-0.7685738115476488,-0.001333122056799199,0.012789197712952503,-0.012361489366253867,0.0032547581615777164,0.008285186162354007,-0.03169412384034125,0.06919340824448152,0.019735827127965375,0.008172077832382111,0.02727630031873711,-0.009251715711613524,0.011722007087770015,-0.023988451926755108,-0.012934079749432534,-0.006910384152048431,-0.0018983316456723334,-0.01582930633308632,0.02637368567153016,0.04690493750187163,-0.013743085621045242,-0.00992165265665664,0.01845590007340759,0.01330400246984672,-0.012884740061315627,0.0008582405446215438,-0.01406935219784355,0.015963219253601824,0.009242253879462592,-0.0031772373999645743,-0.009370504862537581,-0.008187435458100994,0.005472236300932297,-0.0041725151947454,0.02639002862787889,0.003967828017178824,-0.015029309706548833,0.02142887111287783,0.0009195629844779843,-0.011237432394466023,0.008098937738676107,-0.003463845489446995,-0.0015822978897243613,0.00849387793578243,0.012602993861892803,0.0043365237224790186,-0.01474657602957081,-0.010116627832311476,-0.0032934729571444245,0.0025937077411475186,-0.0066282920901100965,-0.00184833789831945,-0.0016498805456205243,-0.00025662290578989727,-0.002883382482986635,0.008297837404047248,-0.0037771413583332207,-0.006821164072971387,0.002305144859693899,-0.004543994709050332
playroom,1.080056066876491,-0.9786375686363176,1.2776134000155528,0.055701613476995204,0.02520864941249646,-0.6948357220177588,-0.4708056969407279,0.236791797426688,0.6456347332064198,-0.57566708384196,0.4134008535381241,-0.10487054746973368,-0.519255487591322,0.7600574969609412,-0.6212497157465813,-0.008810675034385183,-0.3131084928502515,0.5930173646477817,0.4362647348886695,0.14280679523200407,0.3166642391123117,-0.37222229885711766,-0.2111240757381711,0.7279374633426761,-0.014128779461030415,0.061298555903221266,0.14794406462490256,-0.389543472676233,-0.07378636624392439,-0.005182804102919967,0.43656813890057605,0.07772871577279783,-0.14966606158723458,-0.07275965399623713,-0.15435459931476794,-0.29582242004849985,-0.09354227945491986,0.21347372096313472,0.47938908977712,-0.005801140059622068,-0.2797664151500818,0.38267401775802634,0.1392717434845068,0.32303152581106354,-0.1213341286138138,0.2047245125277955,-0.06374589564865522,0.29870182648883786,-0.25579633137152036,-0.1157889560192668,-0.22988569564500694,-0.163208647800167,0.6604921515003465,-0.21461053492059218,0.09779696488511963,-0.20085735236974325,0.21894402704838054,0.014461634376982066,0.19678813642465434,-0.0391273450403031
ocean,0.399911988870603,1.2830417704021593,0.6405360051859964,-0.02836453633437295,-0.890921941810187,-0.03116648254877826,0.2079813802240575,-0.7932878669094301,0.2058657839763985,-0.08100640365649872,-0.6946522983273614,-0.32548629625594383,-0.050848648893811146,0.3528739267897682,0.28072774069782197,0.006391789234193101,0.4409910491858106,0.3249174687730185,-0.584004306609234,0.14636107893039915,-0.18077671048032337,-0.16397004325087267,0.06741255774356945,0.19798134702943684,0.06157328247435906,-0.13687575514002612,-0.16098591934045317,-0.20033663517913597,-0.11844688547900961,-0.38132583657862007,-0.0350115426278856,0.01012593822772207,0.018327722763915623,0.1000115770662452,-0.10482771363377634,0.057389135661739345,0.0748120740834971,0.2718969083972462,0.0870942659230105,0.11006606794512101,-0.014312622242765754,-0.3310396251516214,-0.07345345215031122,0.16165052141162778,0.16562524851769758,-0.21070219720715336,-0.13470545839945663,0.08465156058138296,-0.1709062258919576,0.27682065431147435,-0.0051263129641394385,0.10346192237202352,0.00227700157067917,-0.12969646127255913,-0.3030594981612436,-0.012937377046236542,0.12322547813184241,0.0884552126657478,-0.10594484183976864,0.006875692383791037
computer.n.01,-0.7685738115476487,-0.0013331220567991146,0.012789197712954314,-0.012361489366254733,0.003254758161577036,0.008285186162353544,-0.03169412384034019,0.06919340824448264,0.01973582712796689,0.008172077832381516,0.027276300318737644,-0.009251715711612986,0.011722007087769631,-0.02398845192675591,-0.01293407974943313,-0.006910384152047668,-0.0018983316456718626,-0.015829306333084856,0.026373685671529968,0.04690493750187442,-0.013743085621046048,-0.009921652656657164,0.01845590007340513,0.013304002469845052,-0.012884740061315052,0.0008582405446219709,-0.014069352197843273,0.015963219253601713,0.009242253879462809,-0.0031772373999649005,-0.009370504862538383,-0.00818743545809928,0.005472236300934405,-0.004172515194746186,0.02639002862788028,0.003967828017177936,-0.015029309706549955,0.02142887111287747,0.0009195629844773908,-0.011237432394466212,0.008098937738675418,-0.003463845489446291,-0.0015822978897251762,0.008493877935781324,0.012602993861893364,0.004336523722478223,-0.014746576029569925,-0.010116627832310467,-0.0032934729571463066,0.0025937077411457825,-0.006628292090112063,-0.0018483378983198346,-0.0016498805456196001,-0.00025662290578966856,-0.0028833824829872894,0.008297837404047229,-0.0037771413583329544,-0.006821164072971018,0.002305144859693332,-0.004543994709049341
highway,0.47091758609083745,0.9360825713360837,-0.7864285292488976,0.25005420096955056,0.3721764554995127,0.8500296863740398,0.3712890837220466,0.22323475673999338,-0.34528201876743786,-0.0005204520598387624,-0.43739669629407396,-0.2946226848949499,-0.2455924747219537,0.19648425977849202,-0.18875730763316623,0.3851122258723495,-0.08022925306790149,0.07952925696323326,0.3831157131805756,0.06397503039571328,0.010362482055657516,-0.3031786361668737,-0.16888188237108545,-0.5144907622027118,0.1473881057092703,-0.26138668616642835,-0.21949424973516451,-0.4040265619455418,-0.2616073250820529,0.09540414481111278,0.11671781443313221,0.038887808220403504,-0.1746988318275932,-0.07945918535886155,0.03222956783738292,-0.37739547978654003,-0.11751854539760435,0.08626972353186685,-0.31414652606165394,0.10884615772685509,0.2974202592587424,-0.12069521741199603,0.17029022512754322,-0.12286550923392611,-0.3256441662654861,0.5725359952583322,-0.033187104547427806,-0.11691047055781477,0.4361679810976125,-0.020976354397924217,-0.08358903955276957,-0.14012006803688642,0.3284947705865021,0.04636042831064134,-0.36845483994996364,0.12559708649123477,-0.1311016763070873,0.289718818128432,-0.22899322481901183,-0.11549846120111004
bus_station,-0.7685738115476487,-0.0013331220567991216,0.012789197712951145,-0.012361489366254301,0.003254758161576161,0.008285186162353173,-0.03169412384034213,0.0691934082444809,0.019735827127966638,0.008172077832380449,0.02727630031873717,-0.009251715711612372,0.01172200708776975,-0.023988451926756804,-0.012934079749433235,-0.006910384152046907,-0.001898331645671661,-0.015829306333084724,0.02637368567153035,0.04690493750187385,-0.013743085621045335,-0.009921652656655651,0.018455900073405394,0.01330400246984529,-0.012884740061313347,0.0008582405446212592,-0.014069352197843218,0.01596321925360264,0.009242253879464153,-0.0031772373999642647,-0.009370504862538277,-0.008187435458100923,0.005472236300934512,-0.0041725151947449805,0.026390028627880934,0.0039678280171781335,-0.015029309706549272,0.02142887111287622,0.0009195629844778181,-0.011237432394465976,0.008098937738675233,-0.003463845489446878,-0.001582297889724882,0.008493877935780648,0.012602993861893876,0.004336523722478835,-0.01474657602957021,-0.010116627832312024,-0.0032934729571454597,0.002593707741146485,-0.00662829209011184,-0.0018483378983205935,-0.0016498805456212878,-0.0002566229057900166,-0.002883382482986476,0.008297837404047092,-0.0037771413583327284,-0.006821164072971084,0.0023051448596933784,-0.004543994709050888
veterinarian.n.01,-0.7685738115476487,-0.0013331220567991211,0.012789197712951597,-0.012361489366254301,0.003254758161577522,0.008285186162353544,-0.03169412384034178,0.06919340824448221,0.019735827127967648,0.008172077832380779,0.02727630031873622,-0.00925171571161145,0.011722007087769942,-0.02398845192675655,-0.012934079749432534,-0.00691038415204649,-0.0018983316456735438,-0.0158293063330861,0.02637368567153032,0.04690493750187163,-0.013743085621044558,-0.009921652656655188,0.01845590007340624,0.013304002469846837,-0.012884740061315552,0.0008582405446237928,-0.014069352197843775,0.01596321925360147,0.009242253879463529,-0.0031772373999641988,-0.009370504862537911,-0.008187435458100847,0.005472236300931958,-0.004172515194745188,0.026390028627878693,0.0039678280171787745,-0.015029309706547343,0.021428871112876075,0.0009195629844779131,-0.011237432394465174,0.00809893773867528,-0.003463845489447899,-0.001582297889724452,0.00849387793577995,0.012602993861892875,0.00433652372247864,-0.014746576029569575,-0.01011662783231093,-0.0032934729571442046,0.0025937077411473638,-0.0066282920901112544,-0.0018483378983197962,-0.0016498805456192146,-0.0002566229057884431,-0.002883382482987547,0.008297837404046023,-0.0037771413583308345,-0.0068211640729706775,0.0023051448596937874,-0.004543994709049702
